32,'seventh-grade-books','پایه هفتم','کتاب_کتاب‌های آموزشی و کمک آموزشی_متوسطه_پایه هفتم','BOOK_EDUCATIONAL-BOOKS_HIGHSCHOOL-BOOKS_SEVENTH-GRADE-BOOKS',1,'عدد','0_1_1_2_0','1/1/2017 14:12','1/1/2017 14:12'
33,'eighth-grade-books','پایه هشتم','کتاب_کتاب‌های آموزشی و کمک آموزشی_متوسطه_پایه هشتم','BOOK_EDUCATIONAL-BOOKS_HIGHSCHOOL-BOOKS_EIGHTH-GRADE-BOOKS',1,'عدد','0_1_1_2_1','1/1/2017 14:13','1/1/2017 14:13'
34,'ninth-grade-books','پایه نهم','کتاب_کتاب‌های آموزشی و کمک آموزشی_متوسطه_پایه نهم','BOOK_EDUCATIONAL-BOOKS_HIGHSCHOOL-BOOKS_NINTH-GRADE-BOOKS',1,'عدد','0_1_1_2_2','1/1/2017 14:14','1/1/2017 14:14'
35,'tenth-grade-books','پایه دهم','کتاب_کتاب‌های آموزشی و کمک آموزشی_متوسطه_پایه دهم','BOOK_EDUCATIONAL-BOOKS_HIGHSCHOOL-BOOKS_TENTH-GRADE-BOOKS',1,'عدد','0_1_1_2_3','1/1/2017 14:15','1/1/2017 14:15'
36,'eleventh-grade-books','پایه یازدهم','کتاب_کتاب‌های آموزشی و کمک آموزشی_متوسطه_پایه یازدهم','BOOK_EDUCATIONAL-BOOKS_HIGHSCHOOL-BOOKS_ELEVENTH-GRADE-BOOKS',1,'عدد','0_1_1_2_4','1/1/2017 14:16','1/1/2017 14:16'
37,'twelfth-grade-books','پایه دوازدهم','کتاب_کتاب‌های آموزشی و کمک آموزشی_متوسطه_پایه دوازدهم','BOOK_EDUCATIONAL-BOOKS_HIGHSCHOOL-BOOKS_TWELFTH-GRADE-BOOKS',1,'عدد','0_1_1_2_5','1/1/2017 14:17','1/1/2017 14:17'
38,'first-grade-books','پایه اول','کتاب_کتاب‌های آموزشی و کمک آموزشی_ابتدایی_پایه اول','BOOK_EDUCATIONAL-BOOKS_ELEMENTARY-BOOKS_FIRST-GRADE-BOOKS',1,'عدد','0_1_1_3_0','1/1/2017 14:18','1/1/2017 14:18'
39,'second-grade-books','پایه دوم','کتاب_کتاب‌های آموزشی و کمک آموزشی_ابتدایی_پایه دوم','BOOK_EDUCATIONAL-BOOKS_ELEMENTARY-BOOKS_SECOND-GRADE-BOOKS',1,'عدد','0_1_1_3_1','1/1/2017 14:19','1/1/2017 14:19'
40,'third-grade-books','پایه سوم','کتاب_کتاب‌های آموزشی و کمک آموزشی_ابتدایی_پایه سوم','BOOK_EDUCATIONAL-BOOKS_ELEMENTARY-BOOKS_THIRD-GRADE-BOOKS',1,'عدد','0_1_1_3_2','1/1/2017 14:20','1/1/2017 14:20'
41,'fourth-grade-school','پایه چهارم','کتاب_کتاب‌های آموزشی و کمک آموزشی_ابتدایی_پایه چهارم','BOOK_EDUCATIONAL-BOOKS_ELEMENTARY-BOOKS_FOURTH-GRADE-SCHOOL',1,'عدد','0_1_1_3_3','1/1/2017 14:21','1/1/2017 14:21'
42,'fifth-grade-books','پایه پنجم','کتاب_کتاب‌های آموزشی و کمک آموزشی_ابتدایی_پایه پنجم','BOOK_EDUCATIONAL-BOOKS_ELEMENTARY-BOOKS_FIFTH-GRADE-BOOKS',1,'عدد','0_1_1_3_4','1/1/2017 14:22','1/1/2017 14:22'
43,'sixth-grade-books','پایه ششم','کتاب_کتاب‌های آموزشی و کمک آموزشی_ابتدایی_پایه ششم','BOOK_EDUCATIONAL-BOOKS_ELEMENTARY-BOOKS_SIXTH-GRADE-BOOKS',1,'عدد','0_1_1_3_5','1/1/2017 14:23','1/1/2017 14:23'
44,'general-medicine-books','پزشکی عمومی','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_پزشکی_پزشکی عمومی','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_MEDICAL-BOOKS_GENERAL-MEDICINE-BOOKS',1,'عدد','0_1_1_0_1_0','1/1/2017 14:24','1/1/2017 14:24'
45,'dentistry-books','دندان پزشکی','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_پزشکی_دندان پزشکی','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_MEDICAL-BOOKS_DENTISTRY-BOOKS',1,'عدد','0_1_1_0_1_1','1/1/2017 14:25','1/1/2017 14:25'
46,'management-books','مدیریت','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_علوم انسانی_مدیریت','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_HUMANITIES-BOOKS_MANAGEMENT-BOOKS',1,'عدد','0_1_1_0_2_0','1/1/2017 14:26','1/1/2017 14:26'
47,'entrepreneurship-books','کارآفرینی','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_علوم انسانی_کارآفرینی','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_HUMANITIES-BOOKS_ENTREPRENEURSHIP-BOOKS',1,'عدد','0_1_1_0_2_1','1/1/2017 14:27','1/1/2017 14:27'
48,'English-books','زبان انگلیسی','کتاب_کتاب‌های آموزشی و کمک آموزشی_دانشگاهی_هنر و زبان‌های خارجه_زبان انگلیسی','BOOK_EDUCATIONAL-BOOKS_ACADEMIC-BOOKS_ART-FOREIGNLANGUAGES-BOOKS_ENGLISH-BOOKS',1,'عدد','0_1_1_0_3_0','1/1/2017 14:28','1/1/2017 14:28'
